id,total_ima,ima_high_avg,ima_high_total,ima_medium_total,ima_low_total,ima_per_min,ima_accel_high,ima_acel_medium,ima_acel_low,ima_decel_high,ima_decel_medium,ima_decel_low,total_player_load,average_player_load,peak_player_load,player_load_per_minute,total_jumps,jumps_avg,jumps_per_minute,high_intensity_jumps,med_intesnity_jumps,low_intensity_jumps,rhie_bout_recovery_max,rhie_bout_recovery_min,rhie_bout_recovery_mean,rhie_effort_per_bout,rhie_effort_per_bout_max,rhie_effort_recovery_min,rhie_effort_recovery_mean,rhie_total_bouts,rhie_efforts_per_bout_min,injury
789,660,71,71,116,473,4,12,15,52,21,47,104,710,55,4,4,139,139,1,33,57,49,1195,0,199,5,16,0,2,26,0,0
790,496,55,55,96,345,7,15,14,42,17,20,70,453,76,7,6,52,52,1,23,14,15,198,0,85,5,10,0,2,22,0,0
791,692,64,64,124,504,5,8,12,44,25,38,117,640,46,5,4,73,73,1,19,35,19,458,0,114,4,8,0,2,28,0,0
792,520,34,34,105,381,3,5,11,37,11,46,118,602,46,6,4,134,134,1,23,64,47,1279,0,317,4,9,0,2,19,0,0
793,435,32,32,83,320,5,10,8,43,9,20,63,360,72,5,4,25,25,0,9,8,8,454,0,195,4,5,0,1,14,0,0
794,701,59,59,135,507,5,6,19,48,31,37,109,619,36,3,5,130,130,1,33,74,23,750,0,153,4,10,0,2,26,0,0
795,730,28,56,128,546,4,12,27,64,16,38,156,727,52,6,4,161,81,1,25,109,27,1557,0,232,5,15,0,1,24,0,0
796,757,100,100,146,511,5,17,26,86,29,39,109,702,59,6,5,107,107,1,44,45,18,930,0,110,5,20,0,1,43,0,0
797,757,65,65,137,555,5,9,16,66,26,49,113,730,61,6,5,145,145,1,41,89,15,338,0,111,5,9,0,2,30,0,0
798,638,18,35,103,500,3,7,16,48,11,51,145,702,41,5,3,236,118,1,23,200,13,1750,0,319,4,7,0,1,16,0,0
799,1056,95,95,239,722,7,8,26,82,36,82,174,781,60,4,5,116,116,1,56,33,27,605,0,107,5,11,0,1,49,0,0
800,0,0,0,0,0,0,0,0,0,0,0,0,675,48,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801,226,8,8,31,187,1,3,4,18,3,13,81,362,28,4,2,111,111,1,15,95,1,1101,0,810,4,4,0,1,3,0,0
802,711,67,67,139,505,5,6,15,65,27,38,122,588,42,4,4,60,60,0,16,23,21,674,0,176,5,12,0,2,25,0,0
803,671,47,47,137,487,6,5,8,53,15,51,139,596,40,4,5,152,152,1,29,114,9,739,0,152,4,11,0,1,20,0,0
804,304,19,19,53,232,2,1,4,28,11,17,96,458,35,6,3,121,121,1,16,87,18,952,0,489,6,7,0,3,6,0,0
805,466,57,57,91,318,3,13,6,24,19,31,77,427,427,4,3,81,81,1,24,45,12,619,24,108,5,11,0,2,26,3,0
806,704,52,52,158,494,6,5,12,54,24,76,121,647,38,5,5,175,175,1,35,119,21,622,0,165,5,12,0,2,21,0,0
807,596,24,48,106,442,3,11,21,55,11,35,103,574,34,6,3,70,35,0,19,46,5,941,0,238,4,11,0,2,21,0,0
808,411,40,40,61,310,3,9,3,48,18,23,85,469,39,7,4,60,60,0,33,21,6,1158,0,231,6,12,0,3,9,0,0
809,297,22,22,53,222,3,5,4,25,8,16,44,338,28,4,3,46,46,0,18,22,6,1054,0,171,5,12,0,1,9,0,0
810,405,35,35,65,305,3,5,6,40,10,31,73,414,59,4,3,77,77,1,12,55,10,289,0,157,5,9,0,2,12,0,0
811,1,1,1,0,0,0,0,0,0,1,0,0,15,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
812,309,21,21,53,235,3,4,7,22,10,17,49,371,34,4,4,42,42,0,5,15,22,513,0,252,4,9,0,0,8,0,0
813,311,18,18,44,249,2,3,9,45,4,12,77,381,32,6,3,61,61,0,16,37,8,752,0,258,5,8,0,1,8,0,0
814,496,36,36,96,364,5,1,4,27,13,39,94,406,58,3,4,150,150,2,39,73,38,663,0,163,5,11,0,3,15,0,0
815,356,28,28,50,278,2,8,4,42,7,19,88,470,36,6,3,69,69,0,33,32,4,821,0,213,4,10,0,3,14,0,0
816,513,39,39,134,340,10,2,11,36,24,59,79,341,341,4,7,168,168,3,82,68,18,261,21,68,7,30,0,3,30,3,0
817,564,41,41,150,373,4,11,37,74,17,54,75,363,363,4,2,136,136,1,83,33,20,2849,21,209,8,17,0,3,23,3,0
818,462,46,46,102,314,4,9,6,36,12,33,78,372,372,4,3,119,119,1,66,36,17,1589,21,157,5,18,0,2,32,3,0
819,564,58,58,105,401,4,13,18,46,23,35,96,459,459,4,3,131,131,1,51,54,26,4587,23,247,6,16,0,4,28,3,0
820,537,38,38,124,375,3,4,14,55,15,50,118,404,404,4,3,159,159,1,50,73,36,1193,22,168,8,34,0,3,19,3,0
821,580,72,72,140,368,7,5,21,57,36,52,89,402,402,5,5,147,147,2,59,62,26,584,21,113,6,18,0,1,32,3,0
822,656,81,81,129,446,1,14,26,86,28,42,95,498,498,5,1,147,147,0,53,73,21,19418,32,1026,4,12,0,3,23,3,0
823,611,65,65,151,395,4,7,19,59,21,63,76,475,475,7,3,136,136,1,30,99,7,2382,22,412,4,7,0,4,11,3,0
824,618,61,61,129,428,6,7,20,62,18,44,107,427,427,6,4,79,79,1,38,20,21,1803,47,328,4,6,0,4,9,3,0
825,525,28,28,99,398,6,3,15,58,14,51,82,457,457,5,6,139,139,2,32,89,18,1871,28,221,6,14,0,4,16,3,0
826,685,70,70,136,479,4,9,15,65,31,42,72,436,436,5,2,115,115,1,42,47,26,2144,21,161,5,10,0,2,37,3,0
827,19,2,2,4,13,0,0,0,3,1,1,0,18,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
828,542,58,58,109,375,1,8,10,44,22,45,91,414,414,6,1,100,100,0,45,39,16,20464,21,688,5,14,0,2,35,3,0
829,534,84,84,122,328,4,12,17,45,26,35,50,458,458,7,3,96,96,1,37,30,29,1409,21,107,6,19,0,2,34,3,0
830,580,47,47,125,408,2,7,26,60,20,35,82,442,442,5,1,55,55,0,16,19,20,13017,29,790,5,10,0,3,20,3,0
831,407,25,25,99,283,3,1,4,17,18,50,81,445,445,4,3,160,160,1,59,83,18,1096,25,227,5,11,0,5,19,3,0
832,435,52,52,115,268,3,4,10,37,34,70,71,384,384,5,3,178,178,1,52,104,22,719,21,108,5,10,0,2,34,3,0
833,377,34,34,65,278,3,12,10,45,8,27,69,454,454,4,4,83,83,1,31,41,11,1814,39,348,4,15,0,2,17,3,0
834,671,51,51,131,489,5,7,18,55,17,48,122,642,49,7,5,190,190,1,32,116,42,227,0,98,4,9,0,2,21,0,0
835,378,32,32,66,280,4,7,8,29,8,23,72,423,53,5,4,111,111,1,13,60,38,669,0,165,4,6,0,2,18,0,0
836,681,66,66,149,466,6,12,11,58,17,44,119,513,57,10,5,117,117,1,26,57,34,271,0,93,4,8,0,1,33,0,0
837,682,59,59,146,477,6,8,20,46,17,45,115,598,66,6,5,172,172,1,25,123,24,867,0,192,6,23,0,2,24,0,0
838,627,62,62,133,432,5,8,18,53,17,36,121,561,80,7,5,75,75,1,19,41,15,487,0,117,4,7,0,2,28,0,0
839,507,58,58,91,358,5,13,10,39,20,25,86,398,57,4,4,203,203,2,16,86,101,496,0,136,5,15,0,1,22,0,0
840,354,42,42,79,233,3,6,7,28,18,30,56,328,36,8,3,71,71,1,36,26,9,327,0,187,7,17,0,6,6,3,0
841,473,58,58,113,302,6,12,9,27,19,45,79,314,39,4,4,46,46,1,22,10,14,622,0,229,4,7,0,2,10,3,0
842,767,74,74,147,546,6,15,16,68,20,42,124,569,57,7,4,89,89,1,37,27,25,873,0,236,3,6,0,4,14,3,0
843,740,75,75,141,524,5,10,9,52,25,48,126,566,81,5,4,121,121,1,28,61,32,670,0,244,4,5,0,3,10,3,0
844,707,61,61,141,505,6,10,14,59,14,46,116,513,47,5,4,50,50,0,16,12,22,697,0,364,3,4,0,2,5,3,0
845,625,48,48,129,448,4,5,10,22,22,45,139,553,50,4,4,139,139,1,11,38,90,702,0,441,4,6,0,1,4,3,0
846,759,75,75,160,524,5,12,14,42,23,60,113,654,59,6,4,137,137,1,26,33,78,634,0,325,3,4,0,1,6,3,0
847,350,31,31,68,251,4,3,8,32,7,29,45,347,35,5,4,28,28,0,9,10,9,399,0,262,6,9,0,1,7,0,0
848,645,75,75,143,427,6,9,11,53,28,47,96,517,43,5,5,123,123,1,48,60,15,501,0,179,4,10,0,4,17,3,0
849,583,91,91,158,334,5,9,10,31,36,59,76,482,96,4,4,61,61,1,29,20,12,945,25,124,5,19,0,2,44,3,0
850,685,84,84,161,440,4,17,21,59,27,50,112,521,521,7,3,62,62,0,15,26,21,2943,50,926,5,9,0,5,10,3,1
851,898,80,80,188,630,5,12,22,82,27,52,109,731,56,7,4,55,55,0,15,19,21,859,0,350,3,5,0,1,11,3,0
852,856,85,85,170,601,4,14,14,91,26,55,125,732,56,4,4,107,107,1,16,22,69,1187,0,390,3,4,0,1,8,3,0
853,983,113,113,194,676,6,21,33,97,38,47,140,815,74,5,5,83,83,0,21,34,28,483,0,302,4,5,0,1,9,3,0
854,941,84,84,206,651,7,12,22,61,33,73,147,758,69,5,6,159,159,1,31,82,46,1094,0,339,4,8,0,4,14,3,0
855,843,91,91,164,588,7,11,13,69,39,66,117,590,45,5,5,72,72,1,11,32,29,947,0,256,4,6,0,1,13,3,0
856,1200,133,133,266,801,7,22,43,112,40,101,205,799,80,5,5,116,116,1,36,47,33,1377,0,294,4,6,0,3,21,3,0
857,1071,87,87,174,810,6,16,14,88,24,68,193,759,63,5,4,76,76,0,8,38,30,1025,0,480,4,6,0,1,6,3,0
858,120,0,0,10,110,2,0,1,9,0,4,38,417,417,4,7,32,32,1,32,0,0,404,53,172,10,13,0,4,3,9,0
859,0,0,0,0,0,0,0,0,0,0,0,0,804,134,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,0,0,0,0,0,0,0,0,0,0,0,0,396,57,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
861,600,49,49,119,432,4,8,16,46,23,41,117,602,55,4,4,66,66,0,16,34,16,630,0,437,4,5,0,1,4,3,0
862,807,88,88,190,529,6,9,34,79,38,57,127,633,53,6,5,107,107,1,25,55,27,444,0,225,3,4,0,1,10,3,0
863,776,59,59,149,568,5,4,14,61,26,42,133,626,63,4,4,107,107,1,5,41,61,643,0,294,3,3,0,4,5,3,0
864,1124,101,101,188,835,6,10,21,90,45,70,166,822,82,4,4,115,115,1,26,62,27,990,0,242,5,13,0,1,7,0,0
865,499,49,49,89,361,6,9,11,54,17,25,87,392,44,5,5,37,37,0,15,12,10,416,0,228,3,4,0,1,5,0,0
866,663,84,84,154,425,5,11,14,59,29,53,102,503,46,7,4,125,125,1,24,73,28,710,0,267,4,8,0,2,12,0,0
867,754,87,87,154,513,5,11,11,56,45,58,111,731,81,4,5,203,203,1,22,130,51,480,0,262,4,6,0,1,7,0,0
868,1164,139,139,241,784,7,25,27,88,52,68,172,829,55,6,5,120,120,1,18,85,17,763,0,310,4,6,0,2,15,3,0
869,962,83,83,167,712,6,16,24,67,37,51,163,746,68,4,5,147,147,1,35,67,45,773,0,211,5,8,0,3,8,0,0
870,639,64,64,117,458,5,9,14,52,19,32,100,608,55,6,4,102,102,1,5,66,31,1143,0,512,5,9,0,1,4,0,0
871,618,38,38,123,457,3,9,14,59,12,51,121,671,52,5,4,132,132,1,14,68,50,668,0,231,3,5,0,2,7,0,0
872,686,99,99,134,453,6,11,10,47,38,34,97,568,81,6,5,64,64,1,8,13,43,542,0,187,6,17,0,3,10,0,0
873,681,41,41,122,518,4,7,18,60,13,40,106,597,46,5,4,126,126,1,15,87,24,416,0,400,3,3,0,0,2,0,0
874,331,12,12,66,253,2,0,8,42,5,36,73,429,33,4,3,133,133,1,18,69,46,1304,0,826,3,3,0,0,2,0,0
875,217,24,24,68,125,8,0,6,10,3,15,30,215,215,3,8,53,53,2,19,7,27,607,31,235,6,10,0,4,6,3,0
876,1,0,0,0,1,0,0,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
877,486,52,52,112,322,8,4,8,25,17,26,67,355,71,4,5,30,30,0,2,5,23,812,0,341,4,5,0,2,6,0,0
878,536,33,33,91,412,4,3,10,34,20,35,87,500,50,4,4,63,63,0,19,26,18,629,0,279,5,10,0,5,4,0,0
879,190,14,14,25,151,2,4,7,17,4,8,49,275,25,4,2,38,38,0,10,21,7,1216,0,470,3,3,0,1,3,0,0
880,258,19,19,33,206,2,2,1,36,7,11,47,298,27,5,2,39,39,0,15,21,3,427,0,256,4,4,0,0,2,0,0
881,1386,118,118,270,998,5,16,38,102,36,74,217,1128,81,9,4,279,279,1,32,150,97,2768,0,429,4,7,0,3,14,0,0
882,894,84,84,154,656,6,9,17,57,27,51,140,708,118,5,4,134,134,1,10,37,87,661,0,259,3,5,0,1,8,0,0
883,791,63,63,140,588,5,8,16,54,25,41,120,642,58,6,4,79,79,0,8,38,33,961,0,474,4,5,0,1,7,0,0
884,846,39,77,146,623,4,13,11,81,30,63,158,779,43,6,4,155,78,1,39,86,30,1443,0,290,5,11,0,2,11,0,0
885,1049,59,59,196,794,6,6,27,92,19,64,188,772,70,4,4,82,82,0,8,36,38,0,0,0,0,0,0,0,0,0,0
886,743,49,49,143,551,4,3,19,43,20,50,117,742,74,4,4,173,173,1,6,66,101,466,0,242,3,4,0,1,3,0,0
887,532,17,34,68,430,3,7,4,52,14,27,156,673,40,5,3,223,112,1,19,150,54,131,0,96,5,6,0,0,2,3,0
888,394,28,28,103,263,4,3,16,43,14,20,48,451,113,5,5,38,38,0,5,15,18,1171,0,732,4,5,0,0,3,3,0
889,758,63,63,151,544,4,8,16,54,32,36,101,681,52,4,4,67,67,0,14,30,23,1993,0,626,4,6,0,3,8,3,0
890,482,34,34,91,357,3,7,15,47,10,33,126,566,40,5,3,127,127,1,22,76,29,1382,0,522,3,4,0,0,6,3,0
891,248,23,23,47,178,5,3,8,27,7,12,51,305,152,5,6,46,46,1,23,17,6,1080,0,350,4,7,0,5,4,3,0
892,724,61,61,131,532,4,14,18,76,21,52,136,630,48,6,4,124,124,1,25,74,25,1587,0,586,4,6,0,1,8,3,0
893,706,68,68,130,508,6,6,13,50,29,30,116,635,106,4,5,113,113,1,11,87,15,1968,0,701,5,8,0,1,6,4,0
894,546,32,32,102,412,4,5,12,43,12,32,100,534,53,4,4,101,101,1,26,50,25,780,0,296,4,7,0,2,5,3,0
895,387,9,17,61,309,4,1,6,21,7,31,61,325,46,3,3,54,27,1,8,41,5,0,0,0,0,0,0,0,0,0,0
896,986,107,107,205,674,7,17,26,73,33,55,145,850,77,9,6,186,186,1,38,105,43,627,0,182,4,8,0,2,23,3,0
897,457,28,28,96,333,6,3,9,27,11,31,69,405,51,4,5,58,58,1,8,31,19,259,0,142,3,3,0,4,2,3,0
898,963,32,64,165,734,3,13,14,84,14,55,220,966,121,5,3,240,120,1,25,172,43,10231,0,1271,3,5,0,4,10,3,0
899,747,60,60,138,549,3,11,23,83,23,40,145,734,734,7,3,216,216,1,17,163,36,5873,72,1594,4,5,0,5,9,3,0
900,988,106,106,194,688,7,19,28,88,42,60,148,741,67,7,5,151,151,1,31,62,58,536,0,161,4,7,0,3,19,3,0
901,843,71,71,171,601,5,6,27,87,30,57,135,742,57,5,4,151,151,1,17,100,34,359,0,231,5,6,0,0,3,4,0
902,270,29,29,53,188,1,2,7,16,18,18,53,198,198,5,1,58,58,0,19,32,7,11714,32,2074,4,6,0,3,6,3,0
903,625,52,52,111,462,4,7,18,55,20,26,95,574,72,4,4,70,70,0,4,41,25,1207,0,1027,3,4,0,1,3,3,0
904,464,28,28,99,337,4,4,13,36,5,32,79,465,36,7,4,77,77,1,16,35,26,204,0,126,3,3,0,0,2,3,0
905,666,67,67,144,455,4,19,22,55,13,35,100,766,766,7,5,122,122,1,27,68,27,3250,84,1008,4,10,0,3,9,3,0
906,1362,134,134,267,961,8,14,24,109,56,68,203,951,106,5,6,157,157,1,29,87,41,1418,0,304,4,5,0,3,17,3,0
907,740,71,71,143,526,5,15,17,48,29,43,123,614,77,5,4,89,89,1,16,47,26,809,0,454,3,4,0,2,3,3,0
908,641,48,48,109,484,4,8,8,59,11,41,126,656,50,7,4,139,139,1,17,75,47,512,0,232,4,5,0,0,5,3,0
909,1085,76,76,204,805,6,7,24,81,36,67,163,824,92,6,4,102,102,1,2,52,48,944,0,761,3,4,0,1,3,3,0
910,1041,66,132,169,740,4,11,23,79,43,51,180,792,42,7,3,224,112,1,23,155,46,921,0,301,9,58,0,1,11,3,0
911,771,27,53,126,592,4,10,15,69,21,34,162,762,48,4,3,333,167,2,36,215,82,1119,0,344,6,12,0,3,6,3,0
912,1023,89,89,230,704,7,11,28,79,34,86,158,734,147,6,5,102,102,1,31,29,42,1467,0,461,4,6,0,4,11,3,0
913,358,20,20,63,275,2,1,13,37,13,26,105,446,34,4,2,140,140,1,16,100,24,933,0,679,3,3,0,1,2,3,0
914,981,82,82,182,717,7,14,21,76,27,57,171,811,101,6,6,241,241,2,49,126,66,570,0,269,4,8,0,4,15,3,0
915,822,34,67,151,604,5,11,16,45,30,56,172,765,70,4,5,340,170,2,38,203,99,1174,0,335,4,6,0,4,14,3,0
916,1040,87,87,193,760,6,11,15,72,28,70,182,801,89,5,4,147,147,1,24,86,37,1132,0,467,4,5,0,2,8,3,0
917,213,6,6,32,175,1,1,1,25,4,13,64,369,28,3,2,113,113,1,4,97,12,0,0,0,0,0,0,0,0,0,0
918,536,59,59,114,363,8,19,20,54,15,27,72,309,309,6,4,36,36,1,13,14,9,1201,28,310,4,5,0,4,11,3,0
919,544,46,46,100,398,3,6,12,52,23,35,86,567,57,5,3,82,82,0,14,43,25,1163,0,721,4,4,0,0,2,4,0
920,38,0,0,8,30,1,0,2,4,0,2,14,74,74,3,2,25,25,1,0,13,12,0,0,0,0,0,0,0,0,0,0
921,767,77,77,137,553,5,12,11,59,23,49,139,710,71,4,5,102,102,1,17,55,30,2261,0,691,3,5,0,2,7,3,0
922,366,13,13,43,310,2,1,6,39,6,21,133,525,525,5,2,189,189,1,9,158,22,0,0,0,0,0,0,0,0,0,0
