id,date,Jersey,total_ima,ima_high_avg,ima_high_total,ima_medium_total,ima_low_total,ima_per_min,ima_accel_high,ima_acel_medium,ima_acel_low,ima_decel_high,ima_decel_medium,ima_decel_low,average_duration,total_player_load,average_player_load,peak_player_load,player_load_per_minute,total_jumps,jumps_avg,jumps_per_minute,high_intensity_jumps,med_intesnity_jumps,low_intensity_jumps,rhie_bout_recovery_max,rhie_bout_recovery_min,rhie_bout_recovery_mean,rhie_effort_duration_max,rhie_effort_duration_min,rhie_effort_duration_max,rhie_effort_per_bout,rhie_effort_per_bout_max,rhie_effort_recovery_min,rhie_effort_recovery_mean,rhie_total_bouts,rhie_efforts_per_bout_min
bc83f44d-fdf4-42a7-a23b-565de107bb9c,9/17/2016,4,896,65,65,160,671,8,12,11,54,15,40,110,0:09:07,564,47,4,5,86,86,1,26,21,39,668,0,150,0:00:00,0:00:00,0,4,8,0,1,27,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,9/19/2016,4,753,76,76,134,543,2,25,13,86,15,34,120,5:33:13,615,615,5,2,84,84,0,33,32,19,14635,23,595,0:00:00,0:00:00,0,5,18,0,3,31,3
bc83f44d-fdf4-42a7-a23b-565de107bb9c,9/20/2016,4,715,42,42,143,530,6,6,16,57,13,48,111,0:14:43,598,75,4,5,163,163,1,51,92,20,785,0,198,0:00:00,0:00:00,0,5,8,0,3,23,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,9/22/2016,4,1001,88,88,197,716,9,9,21,70,31,47,150,0:10:38,650,59,5,6,140,140,1,66,45,29,328,0,109,0:00:00,0:00:00,0,5,11,0,3,43,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,9/24/2016,4,782,73,73,152,557,8,6,14,60,22,33,96,0:08:45,510,46,5,5,91,91,1,40,21,30,227,0,92,0:00:00,0:00:00,0,5,10,0,1,32,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,9/26/2016,4,1033,47,93,200,740,8,19,19,71,32,41,149,0:10:28,658,51,5,5,129,65,1,47,59,23,389,0,88,0:00:00,0:00:00,0,5,10,0,2,41,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,9/28/2016,4,895,65,65,179,651,10,9,23,74,20,50,128,0:09:06,590,59,4,6,75,75,1,43,12,20,569,0,98,0:00:00,0:00:00,0,4,9,0,2,37,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,9/30/2016,4,1517,142,142,296,1079,9,18,20,103,48,70,206,0:09:17,940,52,6,6,162,162,1,109,17,36,315,0,94,0:00:00,0:00:00,0,6,39,0,3,62,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/1/2016,4,1266,75,75,239,952,8,6,26,87,20,50,159,0:09:50,765,48,5,5,112,112,1,47,30,35,770,0,160,0:00:00,0:00:00,0,4,10,0,1,38,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/3/2016,4,1220,109,109,236,875,9,12,28,73,37,61,161,0:13:15,803,80,4,6,124,124,1,71,22,31,524,0,126,0:00:00,0:00:00,0,5,16,0,2,41,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/4/2016,4,396,29,29,78,289,5,3,4,29,16,18,61,0:12:26,333,48,4,4,50,50,1,25,7,18,848,0,178,0:00:00,0:00:00,0,4,7,0,1,17,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/10/2016,4,932,64,64,175,693,6,9,14,71,26,45,163,0:12:09,648,54,5,4,130,130,1,40,43,47,663,0,137,0:00:00,0:00:00,0,5,11,0,2,30,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/12/2016,4,496,33,33,93,370,6,4,10,39,13,27,77,0:12:37,452,65,4,5,67,67,1,44,12,11,980,0,218,0:00:00,0:00:00,0,4,15,0,3,17,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/14/2016,4,1445,72,72,249,1124,8,13,18,101,27,76,196,0:12:43,955,64,4,5,261,261,1,65,130,66,567,0,142,0:00:00,0:00:00,0,5,12,0,2,40,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/15/2016,4,1237,95,95,248,894,9,18,19,103,27,60,175,0:14:54,874,97,6,7,163,163,1,42,82,39,474,0,133,0:00:00,0:00:00,0,6,16,0,2,42,0
