id,date,jersey,total_jumps,jumps_avg,jumps_per_minute,high_intensity_jumps,med_intesnity_jumps,low_intensity_jumps
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/15/16,4,196,196,2.57898,84,100,12
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/16/16,4,222,111,0.97798,79,104,39
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/19/16,4,137,137,0.95227,62,44,31
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/20/16,4,151,151,1.0433,76,52,23
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/21/16,4,199,99.5,1.00059,79,77,43
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/22/16,4,162,162,1.09484,87,51,24
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/24/16,4,125,125,1.02198,62,41,22
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/25/16,4,247,247,1.42802,119,100,28
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/27/16,4,153,153,0.99772,76,64,13
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/28/16,4,261,261,1.56288,133,114,14
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/30/16,4,207,207,1.91036,112,66,29
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/1/16,4,151,151,1.21895,70,56,25
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/2/16,4,143,143,1.28748,105,18,20
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/3/16,4,246,246,1.40573,157,63,26
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/6/16,4,196,196,1.5394,93,81,22
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/7/16,4,238,238,2.2324,124,102,12
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/9/16,4,240,240,1.60901,162,57,21
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/10/16,4,142,142,1.1169,88,40,14
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/11/16,4,219,219,1.27462,140,57,22
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/13/16,4,156,156,1.22827,85,45,26
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/14/16,4,235,235,1.39054,122,78,35
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/15/16,4,116,116,0.99528,38,69,9
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/16/16,4,58,58,0.63423,32,10,16
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/17/16,4,257,128.5,1.72484,175,71,11
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/19/16,4,205,205,1.72832,97,81,27
