id,date,jersey,rhie_bout_recovery_max,rhie_bout_recovery_min,rhie_bout_recovery_mean,rhie_effort_duration_max,rhie_effort_duration_min,rhie_effort_duration_max,rhie_effort_per_bout,rhie_effort_per_bout_max,rhie_effort_recovery_min,rhie_effort_recovery_mean,rhie_total_bouts,rhie_efforts_per_bout_min
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/18/16,4,265,0,97.25,0:00:00,0:00:00,19,4.72727,11,0,1.35096,44,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/20/16,4,617,0,95.63889,0:00:00,0:00:00,19,5.22222,13,0,1.61702,36,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/21/16,4,395,0,86.51219,0:00:00,0:00:00,20,4.65854,11,0,2.09948,41,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/22/16,4,1160,0,157.41667,0:00:00,0:00:00,20,5.52778,18,0,3.00503,36,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/24/16,4,1650,0,115.93814,0:00:00,0:00:00,20,6.03093,13,0,1.6188,97,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/25/16,4,653,0,164.86486,0:00:00,0:00:00,20,4.48649,9,0,1.74699,37,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/27/16,4,1287,0,155.77778,0:00:00,0:00:00,16,4.80556,12,0,1.69942,36,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/28/16,4,1292,0,196.42857,0:00:00,0:00:00,19,3.96429,8,0,1.45045,28,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/29/16,4,696,0,194.27083,0:00:00,0:00:00,20,6.41667,16,0,2.37338,48,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/31/16,4,437,0,109.55556,0:00:00,0:00:00,20,6.36111,46,0,2.78166,36,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/1/16,4,439,0,133.11111,0:00:00,0:00:00,19,4.77778,9,0,1.58721,36,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/2/16,4,554,0,95.92727,0:00:00,0:00:00,19,5.52727,39,0,2.09539,55,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/3/16,4,502,0,106.43333,0:00:00,0:00:00,20,4.23333,10,0,3.44094,30,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/4/16,4,1081,0,194.58065,0:00:00,0:00:00,20,7.77419,22,0,1.44398,31,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/7/16,4,688,0,104.28205,0:00:00,0:00:00,20,5.38462,22,0,1.8381,39,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/8/16,4,440,0,157.37931,0:00:00,0:00:00,20,4.86207,9,0,1.82979,29,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/9/16,4,1633,0,168.5,0:00:00,0:00:00,20,4.66667,11,0,1.38095,36,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/10/16,4,477,0,150.88889,0:00:00,0:00:00,3,4.55556,16,0,0.20732,18,0
