id,date,Jersey,total_ima,ima_high_avg,ima_high_total,ima_medium_total,ima_low_total,ima_per_min,ima_accel_high,ima_acel_medium,ima_acel_low,ima_decel_high,ima_decel_medium,ima_decel_low
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/24/2016 - Vic Law,4,2483,109,218,517,1748,6.80614,33,40,224,53,120,347
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/25/2016 - Vic Law,4,1077,70,70,182,825,7.20995,10,24,106,23,36,155
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/27/2016 - Vic Law,4,1207,75,75,208,924,9.40978,14,22,109,27,51,159
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/28/2016 - Vic Law,4,880,49,49,134,697,6.30323,1,9,68,16,32,120
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/29/2016 - Vic Law,4,1581,115,115,303,1163,7.5136,10,43,112,43,73,202
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/31/2016 - Vic Law,4,1016,83,83,172,761,8.49204,17,24,80,24,46,120
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/01/2016 - Vic Law,4,1071,74,74,200,797,8.83225,4,17,79,24,48,138
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/02/2016 - Vic Law,4,1340,108,108,228,1004,8.72774,24,28,136,36,66,195
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/03/2016 - Vic Law,4,799,36,36,136,627,5.62625,5,12,71,15,52,123
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/04/2016 - Vic Law,4,1134,95,95,200,839,7.71516,16,22,76,33,50,171
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/07/2016 - Vic Law,4,1176,86,86,232,858,10.5477,9,29,108,21,52,184
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/08/2016 - Vic Law,4,1325,69,69,211,1045,7.88267,7,14,55,16,44,132
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/09/2016 - Vic Law,4,1268,77,77,231,960,8.65445,19,30,96,22,38,170
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/10/2016 - Vic Law,4,914,36,36,138,740,7.22025,1,11,92,13,23,140
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/11/2016 - Vic Law,4,1138,89,89,216,833,7.30225,6,24,99,28,54,171
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/12/2016 - Vic Law,4,0,0,0,0,0,0,0,0,0,0,0,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/13/2016 - Vic Law,4,778,50,50,138,590,5.49011,5,6,49,17,39,106
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/14/2016 - Vic Law,4,1178,73,73,209,896,7.03635,5,19,94,24,71,190
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/15/2016 - Vic Law,4,618,71,71,116,431,8.13167,14,17,59,23,42,110
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/16/2016 - Vic Law,4,1427,62.5,125,226,1076,6.28637,19,22,84,37,67,218
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/19/2016 - Vic Law,4,847,57,57,122,668,5.8874,9,13,59,14,35,144
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/20/2016 - Vic Law,4,847,52,52,130,665,5.85214,4,13,54,29,30,149
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/21/2016 - Vic Law,4,952,35,70,141,741,4.78673,7,13,88,25,35,176
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/22/2016 - Vic Law,4,1141,93,93,215,833,7.7112,7,17,77,31,69,200
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/24/2016 - Vic Law,4,838,49,49,124,665,6.85136,8,14,83,16,31,129
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/25/2016 - Vic Law,4,1199,91,91,211,897,6.93197,11,26,87,30,62,189
