id,date,total_player_load
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/14/16,460.0946
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/15/16,308.5676
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/17/16,346.20905
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/18/16,524.0133
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/21/16,414.38899
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/25/16,153.50126
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/26/16,504.69228
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/27/16,572.6402
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/29/16,391.21469
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/30/16,440.74667
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/2/16,543.34442
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/7/16,573.8514
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/8/16,365.79462
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/9/16,48.12215
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/12/16,564.2019
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/15/16,316.7395
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/16/16,250.30167
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/26/16,606.22686
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/29/16,471.48506
2af37014-378f-4f0b-a1f4-111cd6c2d419,3/1/16,490.8753
2af37014-378f-4f0b-a1f4-111cd6c2d419,3/2/16,492.58459
2af37014-378f-4f0b-a1f4-111cd6c2d419,3/3/16,287.02275
2af37014-378f-4f0b-a1f4-111cd6c2d419,3/5/16,404.63614
2af37014-378f-4f0b-a1f4-111cd6c2d419,3/8/16,391.61807
2af37014-378f-4f0b-a1f4-111cd6c2d419,3/9/16,393.96692
2af37014-378f-4f0b-a1f4-111cd6c2d419,5/24/16,418.45373
2af37014-378f-4f0b-a1f4-111cd6c2d419,5/25/16,374.79997
2af37014-378f-4f0b-a1f4-111cd6c2d419,5/26/16,368.85431
2af37014-378f-4f0b-a1f4-111cd6c2d419,6/21/16,600.23366
2af37014-378f-4f0b-a1f4-111cd6c2d419,6/23/16,519.86335
2af37014-378f-4f0b-a1f4-111cd6c2d419,6/24/16,473.74891
2af37014-378f-4f0b-a1f4-111cd6c2d419,6/27/16,603.17427
2af37014-378f-4f0b-a1f4-111cd6c2d419,6/29/16,535.33576
2af37014-378f-4f0b-a1f4-111cd6c2d419,6/30/16,495.02702
2af37014-378f-4f0b-a1f4-111cd6c2d419,7/5/16,606.8988
2af37014-378f-4f0b-a1f4-111cd6c2d419,7/6/16,311.16311
2af37014-378f-4f0b-a1f4-111cd6c2d419,7/11/16,498.1527
2af37014-378f-4f0b-a1f4-111cd6c2d419,7/12/16,503.6701
2af37014-378f-4f0b-a1f4-111cd6c2d419,7/13/16,247.98075
2af37014-378f-4f0b-a1f4-111cd6c2d419,7/18/16,258.76752
2af37014-378f-4f0b-a1f4-111cd6c2d419,7/25/16,379.72864
2af37014-378f-4f0b-a1f4-111cd6c2d419,7/26/16,389.41733
2af37014-378f-4f0b-a1f4-111cd6c2d419,7/27/16,503.96828
2af37014-378f-4f0b-a1f4-111cd6c2d419,7/28/16,594.97673
2af37014-378f-4f0b-a1f4-111cd6c2d419,7/29/16,523.76652
2af37014-378f-4f0b-a1f4-111cd6c2d419,9/15/16,444.05899
2af37014-378f-4f0b-a1f4-111cd6c2d419,9/16/16,618.38947
2af37014-378f-4f0b-a1f4-111cd6c2d419,9/17/16,488.71142
2af37014-378f-4f0b-a1f4-111cd6c2d419,9/19/16,638.83484
2af37014-378f-4f0b-a1f4-111cd6c2d419,9/22/16,607.33479
2af37014-378f-4f0b-a1f4-111cd6c2d419,9/24/16,462.53102
2af37014-378f-4f0b-a1f4-111cd6c2d419,9/26/16,529.15194
2af37014-378f-4f0b-a1f4-111cd6c2d419,9/28/16,492.04123
2af37014-378f-4f0b-a1f4-111cd6c2d419,9/30/16,740.36492
2af37014-378f-4f0b-a1f4-111cd6c2d419,10/1/16,703.94603
2af37014-378f-4f0b-a1f4-111cd6c2d419,10/3/16,394.40146
2af37014-378f-4f0b-a1f4-111cd6c2d419,10/4/16,584.51127
2af37014-378f-4f0b-a1f4-111cd6c2d419,10/11/16,540.32892
2af37014-378f-4f0b-a1f4-111cd6c2d419,10/12/16,652.93652
2af37014-378f-4f0b-a1f4-111cd6c2d419,10/14/16,622.94647
2af37014-378f-4f0b-a1f4-111cd6c2d419,10/15/16,641.64667
2af37014-378f-4f0b-a1f4-111cd6c2d419,10/17/16,568.10098
2af37014-378f-4f0b-a1f4-111cd6c2d419,10/18/16,745.0113
2af37014-378f-4f0b-a1f4-111cd6c2d419,10/20/16,602.31972
2af37014-378f-4f0b-a1f4-111cd6c2d419,10/21/16,609
2af37014-378f-4f0b-a1f4-111cd6c2d419,10/22/16,704.49156
2af37014-378f-4f0b-a1f4-111cd6c2d419,10/24/16,627.11085
2af37014-378f-4f0b-a1f4-111cd6c2d419,10/25/16,552.81894
2af37014-378f-4f0b-a1f4-111cd6c2d419,10/27/16,628.24874
2af37014-378f-4f0b-a1f4-111cd6c2d419,10/28/16,505.93814
2af37014-378f-4f0b-a1f4-111cd6c2d419,10/29/16,842
2af37014-378f-4f0b-a1f4-111cd6c2d419,10/31/16,630.44734
