date,total_player_load
7/6/17,6016.95623
7/11/17,3580.53835
7/17/17,7064.46794
7/18/17,6064.26589
7/24/17,5585.02036
7/25/17,6036.52725
9/15/17,5608.74735
9/19/17,4391.19896
9/20/17,4117.42552
9/25/17,4081.36143
9/26/17,4495.7172
9/27/17,4875.50243
9/29/17,6347.57664
9/30/17,8350.86901
10/2/17,8505.02317
10/3/17,8189.14714
10/5/17,5403.7724
10/6/17,6246.98439
10/9/17,7962.42126
10/10/17,7106.01704
10/12/17,7777.50079
10/13/17,5317.06961
10/16/17,5102.91447
10/17/17,7378.09355
10/18/17,5216.58168
10/21/17,5619.72558
10/23/17,7037.92718
10/24/17,6267.92175
10/25/17,6785.60189
10/26/17,4518.60067
10/27/17,4712.78436
10/28/17,4212.64462
10/30/17,5710.44258
10/31/17,6563.28502
11/1/17,7867.12439
11/2/17,1875.93032
11/3/17,3442.03364
11/4/17,7004.62673
11/7/17,8169.00968
11/8/17,6990.01578
11/9/17,4933.10833
11/10/17,6381.21244
11/11/17,4117.75466
11/12/17,6377.83171
11/13/17,6337.24344
11/14/17,1044.08325
11/15/17,6772.68956
11/16/17,2541.20171
11/17/17,5340.38308
11/18/17,5262.82123
11/19/17,5548.87915
11/21/17,10151.2192
11/22/17,9887.65665
11/23/17,6667.3059
11/24/17,9424.83872
11/26/17,7759.70276
11/27/17,7779.23431
11/28/17,9498.73157
11/29/17,3789.54908
11/30/17,6825.36829
12/1/17,8314.45389
12/2/17,1809.91855
12/3/17,7026.86918
12/6/17,5275.81059
12/8/17,5400.85225
12/9/17,4243.7944
12/10/17,4733.65302
12/11/17,9372.73022
12/12/17,6351.54632
12/13/17,3958.83159
12/14/17,8985.8386
12/16/17,8912.99689
12/18/17,5210.90798
12/19/17,6077.17219
12/20/17,7192.34848
12/21/17,5764.81336
12/22/17,4923.4174
12/26/17,8977.71838
12/27/17,8281.72492
12/28/17,8923.11754
12/29/17,6579.07806
12/30/17,6178.16478
12/31/17,2528.36966
1/1/18,7050.52407
1/2/18,6831.55967
1/5/18,8996.01371
1/7/18,5345.35371
1/8/18,6131.827
1/10/18,7094.93431
1/12/18,8235.54116
1/13/18,8101.99782
1/16/18,8181.04521
1/17/18,6563.50736
1/18/18,1686.59793
1/19/18,4328.67484
1/20/18,6496.71161
1/22/18,6977.71847
1/23/18,8819.31659
1/26/18,6853.20457
1/27/18,5877.15133
1/28/18,4409.86569
1/29/18,4742.74205
1/30/18,2162.07638
1/31/18,4038.68924
2/1/18,10071.93734
2/3/18,6217.06596
2/4/18,7477.75194
2/5/18,6087.03345
2/6/18,5837.65721
2/8/18,8783.48023
2/9/18,2284.99243
2/10/18,6069.78621
2/11/18,482.92163
2/12/18,3566.54732
2/13/18,10605.29745
2/15/18,4477.06765
2/16/18,4482.80424
2/17/18,6075.1203
2/19/18,5158.78662
2/20/18,52.17839
2/21/18,1348.19575
2/22/18,6058.77983
2/24/18,3115.48221
2/25/18,5917.94872
2/27/18,3577.5876
2/28/18,4188.05991
3/1/18,6479.61536
