id,date,total_player_load
6f8b7570-63e2-499a-85ac-e3cf1bd56022,1/14/16,457.76329
6f8b7570-63e2-499a-85ac-e3cf1bd56022,1/15/16,320.67728
6f8b7570-63e2-499a-85ac-e3cf1bd56022,1/17/16,452.24118
6f8b7570-63e2-499a-85ac-e3cf1bd56022,1/18/16,502.06442
6f8b7570-63e2-499a-85ac-e3cf1bd56022,1/21/16,390.846
6f8b7570-63e2-499a-85ac-e3cf1bd56022,1/25/16,380.14399
6f8b7570-63e2-499a-85ac-e3cf1bd56022,1/26/16,455.1997
6f8b7570-63e2-499a-85ac-e3cf1bd56022,1/27/16,499.78683
6f8b7570-63e2-499a-85ac-e3cf1bd56022,1/28/16,785.75531
6f8b7570-63e2-499a-85ac-e3cf1bd56022,1/29/16,333.79089
6f8b7570-63e2-499a-85ac-e3cf1bd56022,1/30/16,347.45175
6f8b7570-63e2-499a-85ac-e3cf1bd56022,2/2/16,78.41359
6f8b7570-63e2-499a-85ac-e3cf1bd56022,2/7/16,638.8424
6f8b7570-63e2-499a-85ac-e3cf1bd56022,2/8/16,432.05347
6f8b7570-63e2-499a-85ac-e3cf1bd56022,2/9/16,302.9278
6f8b7570-63e2-499a-85ac-e3cf1bd56022,2/12/16,0
6f8b7570-63e2-499a-85ac-e3cf1bd56022,2/15/16,594.56537
6f8b7570-63e2-499a-85ac-e3cf1bd56022,2/16/16,302.53677
6f8b7570-63e2-499a-85ac-e3cf1bd56022,2/19/16,591.65886
6f8b7570-63e2-499a-85ac-e3cf1bd56022,2/20/16,603.97692
6f8b7570-63e2-499a-85ac-e3cf1bd56022,2/24/16,267.41837
6f8b7570-63e2-499a-85ac-e3cf1bd56022,2/25/16,328.11248
6f8b7570-63e2-499a-85ac-e3cf1bd56022,2/26/16,582.25856
6f8b7570-63e2-499a-85ac-e3cf1bd56022,2/29/16,469.44403
6f8b7570-63e2-499a-85ac-e3cf1bd56022,3/2/16,586.38708
6f8b7570-63e2-499a-85ac-e3cf1bd56022,3/3/16,303.99433
6f8b7570-63e2-499a-85ac-e3cf1bd56022,3/5/16,413.16665
6f8b7570-63e2-499a-85ac-e3cf1bd56022,3/8/16,546.41083
6f8b7570-63e2-499a-85ac-e3cf1bd56022,3/9/16,450.35915
6f8b7570-63e2-499a-85ac-e3cf1bd56022,5/24/16,371.67549
6f8b7570-63e2-499a-85ac-e3cf1bd56022,5/25/16,293.52557
6f8b7570-63e2-499a-85ac-e3cf1bd56022,5/26/16,318.9364
6f8b7570-63e2-499a-85ac-e3cf1bd56022,6/21/16,584.27995
6f8b7570-63e2-499a-85ac-e3cf1bd56022,6/23/16,473.25969
6f8b7570-63e2-499a-85ac-e3cf1bd56022,6/24/16,533.61153
6f8b7570-63e2-499a-85ac-e3cf1bd56022,6/27/16,477.10589
6f8b7570-63e2-499a-85ac-e3cf1bd56022,6/29/16,458.17307
6f8b7570-63e2-499a-85ac-e3cf1bd56022,6/30/16,423.77142
6f8b7570-63e2-499a-85ac-e3cf1bd56022,7/5/16,539.06201
6f8b7570-63e2-499a-85ac-e3cf1bd56022,7/6/16,284.8324
6f8b7570-63e2-499a-85ac-e3cf1bd56022,7/11/16,450.10591
6f8b7570-63e2-499a-85ac-e3cf1bd56022,8/11/16,114.83509
6f8b7570-63e2-499a-85ac-e3cf1bd56022,8/12/16,370.82504
6f8b7570-63e2-499a-85ac-e3cf1bd56022,8/15/16,113.22744
6f8b7570-63e2-499a-85ac-e3cf1bd56022,8/16/16,201.67833
6f8b7570-63e2-499a-85ac-e3cf1bd56022,9/12/16,19.4791
6f8b7570-63e2-499a-85ac-e3cf1bd56022,9/15/16,429.73367
6f8b7570-63e2-499a-85ac-e3cf1bd56022,9/16/16,399.04468
6f8b7570-63e2-499a-85ac-e3cf1bd56022,9/17/16,514.53765
6f8b7570-63e2-499a-85ac-e3cf1bd56022,9/19/16,487.50565
6f8b7570-63e2-499a-85ac-e3cf1bd56022,9/20/16,504.09084
6f8b7570-63e2-499a-85ac-e3cf1bd56022,9/22/16,528.98477
6f8b7570-63e2-499a-85ac-e3cf1bd56022,9/24/16,421.37639
6f8b7570-63e2-499a-85ac-e3cf1bd56022,9/26/16,491.1775
6f8b7570-63e2-499a-85ac-e3cf1bd56022,9/28/16,474.44837
6f8b7570-63e2-499a-85ac-e3cf1bd56022,9/30/16,821.76146
6f8b7570-63e2-499a-85ac-e3cf1bd56022,10/1/16,651.67932
6f8b7570-63e2-499a-85ac-e3cf1bd56022,10/3/16,710.08918
6f8b7570-63e2-499a-85ac-e3cf1bd56022,10/4/16,570.80838
6f8b7570-63e2-499a-85ac-e3cf1bd56022,10/6/16,546.192
6f8b7570-63e2-499a-85ac-e3cf1bd56022,10/7/16,470.1101
6f8b7570-63e2-499a-85ac-e3cf1bd56022,10/10/16,709.28863
6f8b7570-63e2-499a-85ac-e3cf1bd56022,10/11/16,68.10716
6f8b7570-63e2-499a-85ac-e3cf1bd56022,10/12/16,624.74618
6f8b7570-63e2-499a-85ac-e3cf1bd56022,10/14/16,713.45952
6f8b7570-63e2-499a-85ac-e3cf1bd56022,10/15/16,742.27901
6f8b7570-63e2-499a-85ac-e3cf1bd56022,10/17/16,495.43104
6f8b7570-63e2-499a-85ac-e3cf1bd56022,10/18/16,610.79419
6f8b7570-63e2-499a-85ac-e3cf1bd56022,10/20/16,594.10137
6f8b7570-63e2-499a-85ac-e3cf1bd56022,10/22/16,652.98951
6f8b7570-63e2-499a-85ac-e3cf1bd56022,10/27/16,637.45498
6f8b7570-63e2-499a-85ac-e3cf1bd56022,10/28/16,268
6f8b7570-63e2-499a-85ac-e3cf1bd56022,10/29/16,759
6f8b7570-63e2-499a-85ac-e3cf1bd56022,10/31/16,532.88277
6f8b7570-63e2-499a-85ac-e3cf1bd56022,11/1/16,507.30625
6f8b7570-63e2-499a-85ac-e3cf1bd56022,11/3/16,511.27392
6f8b7570-63e2-499a-85ac-e3cf1bd56022,11/4/16,482.00001
6f8b7570-63e2-499a-85ac-e3cf1bd56022,11/7/16,543.3802
6f8b7570-63e2-499a-85ac-e3cf1bd56022,11/8/16,536.04852
6f8b7570-63e2-499a-85ac-e3cf1bd56022,11/9/16,2.51327
6f8b7570-63e2-499a-85ac-e3cf1bd56022,11/10/16,364.1439
6f8b7570-63e2-499a-85ac-e3cf1bd56022,11/11/16,453.02274
6f8b7570-63e2-499a-85ac-e3cf1bd56022,11/13/16,366.77598
6f8b7570-63e2-499a-85ac-e3cf1bd56022,11/14/16,392.42145
6f8b7570-63e2-499a-85ac-e3cf1bd56022,11/15/16,298.28974
6f8b7570-63e2-499a-85ac-e3cf1bd56022,11/16/16,162.20073
6f8b7570-63e2-499a-85ac-e3cf1bd56022,11/19/16,485.21048
6f8b7570-63e2-499a-85ac-e3cf1bd56022,11/20/16,532.25754
6f8b7570-63e2-499a-85ac-e3cf1bd56022,11/21/16,507.24915
6f8b7570-63e2-499a-85ac-e3cf1bd56022,11/22/16,298.35634
6f8b7570-63e2-499a-85ac-e3cf1bd56022,1/21/17,35.53881
6f8b7570-63e2-499a-85ac-e3cf1bd56022,4/17/17,385.29111
6f8b7570-63e2-499a-85ac-e3cf1bd56022,4/18/17,363.76736
6f8b7570-63e2-499a-85ac-e3cf1bd56022,4/24/17,459.72525
6f8b7570-63e2-499a-85ac-e3cf1bd56022,4/25/17,236.20227
6f8b7570-63e2-499a-85ac-e3cf1bd56022,4/27/17,391.01566
6f8b7570-63e2-499a-85ac-e3cf1bd56022,5/1/17,470.51346
6f8b7570-63e2-499a-85ac-e3cf1bd56022,5/2/17,318.71191
6f8b7570-63e2-499a-85ac-e3cf1bd56022,5/4/17,10.56237
6f8b7570-63e2-499a-85ac-e3cf1bd56022,5/8/17,133.53526
6f8b7570-63e2-499a-85ac-e3cf1bd56022,5/9/17,332.31519
6f8b7570-63e2-499a-85ac-e3cf1bd56022,5/11/17,384.80701
6f8b7570-63e2-499a-85ac-e3cf1bd56022,5/16/17,310.31567
6f8b7570-63e2-499a-85ac-e3cf1bd56022,5/18/17,392.66757
6f8b7570-63e2-499a-85ac-e3cf1bd56022,5/22/17,399.85175
6f8b7570-63e2-499a-85ac-e3cf1bd56022,5/23/17,328.61087
6f8b7570-63e2-499a-85ac-e3cf1bd56022,5/25/17,375.311
6f8b7570-63e2-499a-85ac-e3cf1bd56022,6/20/17,548.80547
6f8b7570-63e2-499a-85ac-e3cf1bd56022,6/22/17,394.37411
6f8b7570-63e2-499a-85ac-e3cf1bd56022,6/26/17,451.07858
6f8b7570-63e2-499a-85ac-e3cf1bd56022,6/27/17,539.65051
6f8b7570-63e2-499a-85ac-e3cf1bd56022,6/29/17,500.54167
6f8b7570-63e2-499a-85ac-e3cf1bd56022,6/30/17,307.27796
6f8b7570-63e2-499a-85ac-e3cf1bd56022,7/6/17,506.78388
6f8b7570-63e2-499a-85ac-e3cf1bd56022,7/11/17,286.48754
6f8b7570-63e2-499a-85ac-e3cf1bd56022,7/17/17,545.91815
