id,date,jersey,average_duration,total_player_load,average_player_load,peak_player_load,player_load_per_minute
bc83f44d-fdf4-42a7-a23b-565de107bb9c,5/24/16,4,0:36:56,490.09831,245.04916,9.3711,6.63413
bc83f44d-fdf4-42a7-a23b-565de107bb9c,5/25/16,4,0:36:45,380.66454,190.33227,3.61016,5.17794
bc83f44d-fdf4-42a7-a23b-565de107bb9c,5/26/16,4,0:35:21,396.81415,198.40707,4.65651,5.61005
bc83f44d-fdf4-42a7-a23b-565de107bb9c,6/21/16,4,0:09:56,636.16827,42.41122,7.99678,4.26246
bc83f44d-fdf4-42a7-a23b-565de107bb9c,6/23/16,4,0:09:26,533.57646,44.4647,4.36606,4.70736
bc83f44d-fdf4-42a7-a23b-565de107bb9c,6/24/16,4,0:21:51,566.88661,56.68866,4.69438,2.59318
bc83f44d-fdf4-42a7-a23b-565de107bb9c,6/27/16,4,0:10:41,634.82447,57.71132,4.80512,5.40114
bc83f44d-fdf4-42a7-a23b-565de107bb9c,6/29/16,4,0:08:11,543.27127,45.27261,6.29314,5.53062
bc83f44d-fdf4-42a7-a23b-565de107bb9c,6/30/16,4,0:07:12,546.06803,45.50567,4.33113,6.31362
bc83f44d-fdf4-42a7-a23b-565de107bb9c,7/5/16,4,0:10:09,654.59048,54.54921,4.84293,5.36772
bc83f44d-fdf4-42a7-a23b-565de107bb9c,7/11/16,4,0:08:03,529.58107,40.73701,4.38266,5.05709
bc83f44d-fdf4-42a7-a23b-565de107bb9c,7/12/16,4,0:08:48,561.69644,51.06331,4.87302,5.79411
bc83f44d-fdf4-42a7-a23b-565de107bb9c,7/13/16,4,0:08:36,290.20498,41.45785,3.27596,4.81767
bc83f44d-fdf4-42a7-a23b-565de107bb9c,7/18/16,4,0:07:52,570.02041,47.5017,5.44218,6.03575
bc83f44d-fdf4-42a7-a23b-565de107bb9c,7/19/16,4,0:08:49,489.40977,44.4918,3.87355,5.0411
bc83f44d-fdf4-42a7-a23b-565de107bb9c,7/20/16,4,0:10:14,339.46323,48.49475,5.37297,4.73506
bc83f44d-fdf4-42a7-a23b-565de107bb9c,7/25/16,4,0:09:58,641.72238,58.3384,4.65455,5.84984
bc83f44d-fdf4-42a7-a23b-565de107bb9c,7/26/16,4,0:08:51,417.15159,52.14395,4.25601,5.89002
bc83f44d-fdf4-42a7-a23b-565de107bb9c,7/27/16,4,0:10:42,538.90355,59.87817,5.60404,5.5941
bc83f44d-fdf4-42a7-a23b-565de107bb9c,7/28/16,4,0:17:16,694.72344,115.78724,5.19271,6.7021
bc83f44d-fdf4-42a7-a23b-565de107bb9c,7/29/16,4,0:07:38,605.3213,43.23724,3.87839,5.6545
bc83f44d-fdf4-42a7-a23b-565de107bb9c,9/15/16,4,0:06:44,526.22511,35.08167,4.2671,5.20459
bc83f44d-fdf4-42a7-a23b-565de107bb9c,9/16/16,4,2:03:51,569.09033,569.09033,5.38232,4.595
bc83f44d-fdf4-42a7-a23b-565de107bb9c,9/17/16,4,0:09:07,564.39804,47.03317,3.83047,5.15292
bc83f44d-fdf4-42a7-a23b-565de107bb9c,9/19/16,4,5:33:13,615.29834,615.29834,4.80397,1.84654
bc83f44d-fdf4-42a7-a23b-565de107bb9c,9/20/16,4,0:14:43,598.36143,74.79518,4.42519,5.07739
bc83f44d-fdf4-42a7-a23b-565de107bb9c,9/22/16,4,0:10:38,649.79188,59.07199,4.62282,5.54818
bc83f44d-fdf4-42a7-a23b-565de107bb9c,9/24/16,4,0:08:45,509.81339,46.34667,4.76757,5.2872
bc83f44d-fdf4-42a7-a23b-565de107bb9c,9/26/16,4,0:10:28,657.83076,50.60237,4.73051,4.83169
bc83f44d-fdf4-42a7-a23b-565de107bb9c,9/28/16,4,0:09:06,590.49742,59.04974,3.96951,6.4836
bc83f44d-fdf4-42a7-a23b-565de107bb9c,9/30/16,4,0:09:17,940.21556,52.2342,6.09842,5.62547
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/1/16,4,0:09:50,765.47194,47.842,4.88219,4.85774
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/3/16,4,0:13:15,803.00859,80.30086,4.45682,6.05819
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/4/16,4,0:12:26,333.35956,47.62279,3.74047,3.82903
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/10/16,4,0:12:09,647.77781,53.98148,5.14935,4.43948
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/12/16,4,0:12:37,451.67696,64.52528,3.84759,5.11063
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/14/16,4,0:12:43,954.92521,63.66168,4.45169,5.00257
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/15/16,4,0:14:54,874.40017,97.15557,5.77298,6.51499
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/17/16,4,0:10:02,692.0766,57.67305,7.67088,5.74466
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/18/16,4,0:08:50,745.57029,46.59814,5.17887,5.27474
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/20/16,4,0:06:54,816.83462,42.9913,4.85563,6.22379
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/21/16,4,0:07:36,791.80269,46.57663,4.29533,6.11736
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/22/16,4,0:16:56,773.86705,110.55244,5.68844,6.52548
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/24/16,4,0:28:03,1783.86654,137.2205,9.00537,4.88975
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/25/16,4,0:09:57,813.76138,54.25076,4.37564,5.44771
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/27/16,4,0:09:52,701.73582,53.97968,5.00084,5.47074
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/28/16,4,0:10:44,696.99006,53.61462,3.77437,4.99237
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/29/16,4,0:26:18,991.73659,123.96707,4.65294,4.71316
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/31/16,4,0:08:32,713.77241,50.98374,4.62961,5.96593
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/1/16,4,0:08:39,719.32383,51.38027,6.62006,5.93207
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/2/16,4,0:10:58,893.67367,63.83383,4.21905,5.82071
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/3/16,4,0:08:21,667.19572,39.24681,3.68238,4.69814
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/4/16,4,0:11:18,858.89193,66.06861,5.24749,5.84346
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/7/16,4,0:07:57,845.81453,60.41532,5.21349,7.58622
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/8/16,4,0:16:48,765.45917,76.54592,4.12059,4.55386
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/9/16,4,0:09:46,820.84754,54.72317,4.62997,5.60251
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/10/16,4,0:07:26,685.71031,40.3359,3.7655,5.41685
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/11/16,4,0:11:59,910.80902,70.06223,4.65954,5.84443
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/12/16,4,0:10:57,11.70621,1.46328,0.14873,0.13357
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/13/16,4,0:07:05,654.07458,32.70373,3.6482,4.61561
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/14/16,4,0:12:52,1035.95336,79.68872,8.60805,6.18789
