period,season,date,game,win_loss,score,team_score,total_player_load,avg_load_against_opp
Off Season,null,10/28/2016,null,null,null,null,5883.53898,null
Off Season,null,10/29/2016,null,null,null,null,9169.79953,null
Off Season,null,10/31/2016,null,null,null,null,6723.76833,null
Off Season,null,11/1/2016,null,null,null,null,6765.33472,null
Off Season,null,11/2/2016,null,null,null,null,7065.61148,null
Off Season,null,11/3/2016,null,null,null,null,6040.05141,null
In Season,2016-17,11/4/2016,Illinois Springfield,Win,W89-52,89,6452.87441,6452.87441
In Season,2016-17,11/7/2016,null,null,null,null,7254.12407,null
In Season,2016-17,11/8/2016,null,null,null,null,7364.13369,null
In Season,2016-17,11/9/2016,null,null,null,null,7561.12726,null
In Season,2016-17,11/10/2016,null,null,null,null,5684.32625,null
In Season,2016-17,11/11/2016,Mississippi Valley State,Win,W94-63,94,7625.06692,7625.06692
In Season,2016-17,11/12/2016,null,null,null,null,2932.42633,null
In Season,2016-17,11/13/2016,null,null,null,null,5987.535,null
In Season,2016-17,11/14/2016,Eastern Washington,Win,W86-72,86,6035.50806,6035.50806
In Season,2016-17,11/15/2016,null,null,null,null,3900.20703,null
In Season,2016-17,11/16/2016,Butler,Loss,L70-68,68,8744.3815,8744.3815
In Season,2016-17,11/19/2016,null,null,null,null,6323.31273,null
In Season,2016-17,11/20/2016,null,null,null,null,6312.07993,null
In Season,2016-17,11/21/2016,Texas,Win,W77-58,77,8659.82402,8659.82402
In Season,2016-17,11/22/2016,Notre Dame,Loss,L70-66,70,6634.36435,6634.36435
In Season,2016-17,11/24/2016,null,null,null,null,5468.5107,null
In Season,2016-17,11/25/2016,Bryant,Win,W86-66,86,5697.33387,5697.33387
In Season,2016-17,11/27/2016,null,null,null,null,6901.5761,null
In Season,2016-17,11/28/2016,Wake Forest,Win,W65-58,65,6157.94601,6157.94601
In Season,2016-17,11/30/2016,null,null,null,null,5042.02306,null
In Season,2016-17,12/1/2016,null,null,null,null,5434.13927,null
In Season,2016-17,12/2/2016,null,null,null,null,5308.04074,null
In Season,2016-17,12/3/2016,DePaul,Win,W80-64,80,6933.56059,6933.56059
In Season,2016-17,12/6/2016,null,null,null,null,5538.82473,null
In Season,2016-17,12/7/2016,null,null,null,null,4586.85241,null
In Season,2016-17,12/9/2016,null,null,null,null,6558.30052,null
In Season,2016-17,12/10/2016,null,null,null,null,5528.38527,null
